organization,year,records,sector,method,grouped_sector,attack_category
50 companies and government institutions,2022,6400000,various,poor security,Miscellaneous & Other,Poor security/Misconfiguration
IKEA,2022,95000,retail,accidentally published,Retail & Consumer Services,Accidentally published
Apple,2012,12367232,"tech, retail",unknown,Retail & Consumer Services,Unknown
500px,2019,14800000,web,hacked,Technology & IT Services,Hacked
8fit,2019,20000000,web,hacked,Technology & IT Services,Hacked
AOL,2004,92000000,web,inside job,Technology & IT Services,Inside job
AOL,2014,2400000,web,hacked,Technology & IT Services,Hacked
AOL,2006,20000000,web,unknown,Technology & IT Services,Unknown
AT&T,2008,113000,telecoms,lost device ,Telecommunications,Other
AT&T,2010,114000,telecoms,hacked,Telecommunications,Hacked
Aadhaar,2018,550000000,government,poor security,Government & Public Services,Poor security/Misconfiguration
Accendo Insurance Co. ,2011,175350,health ,poor security,Healthcare & Health Services,Poor security/Misconfiguration
Acer,2021,3000000,tech,hacked,Technology & IT Services,Hacked
Adobe,2013,38000000,tech,hacked,Technology & IT Services,Hacked
Adult Friend Finder,2015,3900000,web,hacked,Technology & IT Services,Hacked
Advocate Medical Group,2013,4000000,health ,lost device ,Healthcare & Health Services,Other
"Affinity Health Plan, Inc.",2013,344579,health ,lost device ,Healthcare & Health Services,Other
Aimware,2019,305470,gaming,hacked,Gaming & Entertainment,Hacked
Air India,2021,4500000,transport,hacked,Transport & Logistics,Hacked
Al.type,2017,31000000,app,poor security,Miscellaneous & Other,Poor security/Misconfiguration
Amazon,2018,5000000,retail,unknown,Retail & Consumer Services,Unknown
Amazon Reviews,2021,13124962,web,poor security ,Technology & IT Services,Other
Ameritrade Inc.,2005,200000,finance,lost device ,Financial Services,Other
Animoto,2019,25000000,web,hacked,Technology & IT Services,Hacked
"Ankle & foot Center of Tampa Bay, Inc.",2011,156000,health ,hacked,Healthcare & Health Services,Hacked
Anthem ,2015,80000000,health ,hacked,Healthcare & Health Services,Hacked
Apollo,2018,200000000,tech,poor security,Technology & IT Services,Poor security/Misconfiguration
Apple,2013,275000,"tech, web",hacked,Technology & IT Services,Hacked
Armor Games,2019,11000000,gaming,hacked,Gaming & Entertainment,Hacked
Artsy,2019,1000000,web,hacked,Technology & IT Services,Hacked
AshleyMadison.com,2015,37000000,web,hacked,Technology & IT Services,Hacked
Auction.co.kr,2008,18000000,web,hacked,Technology & IT Services,Hacked
Australian Immigration Department,2015,30,government,unknown,Government & Public Services,Unknown
Australian National University,2019,200000,academic,hacked,Educational & Academic Services,Hacked
Automatic Data Processing,2006,125000,finance,poor security,Financial Services,Poor security/Misconfiguration
"AvMed, Inc.",2010,1220000,health ,lost device ,Healthcare & Health Services,Other
Avvo,2019,4101101,legal,hacked,Consulting & Professional Services,Hacked
BNY Mellon Shareowner Services,2008,4500000,finance,lost device ,Financial Services,Other
Banner Health,2016,3700000,health ,hacked,Healthcare & Health Services,Hacked
Bell,2017,1900000,telecoms,hacked,Telecommunications,Hacked
Betfair,2011,2300000,web,hacked,Technology & IT Services,Hacked
Bethesda Game Studios,2011,200000,gaming,hacked,Gaming & Entertainment,Hacked
Blank Media Games,2019,7600000,gaming,hacked,Gaming & Entertainment,Hacked
Blizzard,2012,14000000,gaming,hacked,Gaming & Entertainment,Hacked
Blue Cross Blue Shield of Tennessee,2010,1023209,health ,lost device ,Healthcare & Health Services,Other
Blur,2019,2400000,tech,unknown,Technology & IT Services,Unknown
BookMate,2019,8000000,web,hacked,Technology & IT Services,Hacked
Boots Advantage Card,2020,150000,retail,hacked,Retail & Consumer Services,Hacked
Brazzers,2016,790724,web,hacked,Technology & IT Services,Hacked
Brewdog,2021,200000,retail,poor security,Retail & Consumer Services,Poor security/Misconfiguration
BriansClub,2019,26000000,web,hacked,Technology & IT Services,Hacked
British Airways,2018,380000,transport,hacked,Transport & Logistics,Hacked
British Airways,2015,10000,transport,hacked,Transport & Logistics,Hacked
Buchbinder Car Rentals,2020,5000000,transport,poor security,Transport & Logistics,Poor security/Misconfiguration
Bulgarian National Revenue Agency,2019,5000000,government,hacked,Government & Public Services,Hacked
CDEK,2022,18218203,retail,hacked,Retail & Consumer Services,Hacked
CEX,2017,2000000,retail,unknown,Retail & Consumer Services,Unknown
California Department of Child Support Services,2012,800000,government,lost device ,Government & Public Services,Other
Call of Duty / Activision,2020,500000,gaming,hacked,Gaming & Entertainment,Hacked
Canva,2019,139000000,web,hacked,Technology & IT Services,Hacked
Capital One,2019,100000000,finance,hacked,Financial Services,Hacked
CarPhone Warehouse,2015,2400000,telecoms,hacked,Telecommunications,Hacked
Cardsystems Solutions Inc. ,2005,40000000,finance,hacked,Financial Services,Hacked
Careem,2018,14000000,app,hacked,Miscellaneous & Other,Hacked
Carefirst,2015,1100000,health ,hacked,Healthcare & Health Services,Hacked
Cathay Pacific Airways,2018,94000000,transport,hacked,Transport & Logistics,Hacked
Cellebrite,2017,3000000,tech,hacked,Technology & IT Services,Hacked
Cense AI,2020,2500000,"tech, health",poor security,Healthcare & Health Services,Poor security/Misconfiguration
Central Hudson Gas & Electric,2013,110000,misc,hacked,Miscellaneous & Other,Hacked
CheckFree Corporation,2009,5000000,finance,hacked,Financial Services,Hacked
Chile Ministry Of Education,2008,6000000,government,hacked,Government & Public Services,Hacked
China Software Developer Network,2012,6000000,web,hacked,Technology & IT Services,Hacked
Chinese gaming sites,2011,10000000,web,hacked,Technology & IT Services,Hacked
Chinese resume leak,2018,202000000,web,poor security,Technology & IT Services,Poor security/Misconfiguration
Chtrbox,2019,49000000,misc,poor security,Miscellaneous & Other,Poor security/Misconfiguration
Citigroup,2011,210000,finance,hacked,Financial Services,Hacked
Citigroup,2013,150000,finance,unknown,Financial Services,Unknown
Citigroup,2005,3900000,finance,lost device ,Financial Services,Other
City and Hackney Teaching Primary Care Trust,2007,160000,government,lost device ,Government & Public Services,Other
"City of Amagasaki, Japan",2022,500000,government,unknown,Government & Public Services,Unknown
Classified Iraq War documents,2010,392000,government,inside job,Government & Public Services,Inside job
Click2Gov,2018,300000,finance,hacked,Financial Services,Hacked
Clinton campaign,2016,5000000,government,hacked,Government & Public Services,Hacked
ClixSense,2016,6600000,web,hacked,Technology & IT Services,Hacked
CoffeeMeetsBagel,2019,6000000,web,hacked,Technology & IT Services,Hacked
Coinmama,2019,450000,finance,hacked,Financial Services,Hacked
Colorado government,2010,105470,health ,lost device ,Healthcare & Health Services,Other
Community Health Systems,2014,4500000,health ,hacked,Healthcare & Health Services,Hacked
Compass Bank,2008,1000000,finance,inside job,Financial Services,Inside job
Contact tracing data,2021,38000000,telecoms,hacked,Telecommunications,Hacked
Countrywide Financial Corp,2008,2500000,finance,inside job,Financial Services,Inside job
Court Ventures,2013,200000000,finance,inside job,Financial Services,Inside job
"Crescent Health Inc., Walgreens",2013,100000,health ,lost device ,Healthcare & Health Services,Other
"D&B, Altegrity",2013,1000000,tech,hacked,Technology & IT Services,Hacked
DaFont,2017,700000,web,hacked,Technology & IT Services,Hacked
Dai Nippon Printing,2007,8637405,retail,inside job,Retail & Consumer Services,Inside job
Dailymotion,2016,85200000,web,hacked,Technology & IT Services,Hacked
DataCamp,2019,700000,web,hacked,Technology & IT Services,Hacked
Deep Root Analytics,2015,198000000,web,poor security,Technology & IT Services,Poor security/Misconfiguration
Dell ,2018,100000,tech,hacked,Technology & IT Services,Hacked
Desjardins Group,2019,4200000,finance,inside job,Financial Services,Inside job
Digital Ocean,2021,10000000,tech,poor security ,Technology & IT Services,Other
Disqus,2017,17500000,web,hacked,Technology & IT Services,Hacked
Dixons Carphone,2018,10000000,telecoms,hacked,Telecommunications,Hacked
Dominios Pizzas (France),2014,600000,retail,hacked,Retail & Consumer Services,Hacked
DoorDash,2019,4900000,transport,hacked,Transport & Logistics,Hacked
Driving Standards Agency,2007,3000000,government,lost device ,Government & Public Services,Other
Drizly,2020,2400000,app,hacked,Miscellaneous & Other,Hacked
Dropbox,2012,68700000,web,hacked,Technology & IT Services,Hacked
Drupal,2013,1000000,web,hacked,Technology & IT Services,Hacked
Dubai Real Estate Leak,2022,800000,financial,inside job,Financial Services,Inside job
Dubsmash,2019,162000000,web ,hacked,Miscellaneous & Other,Hacked
Dutch Government,2020,6900000,government,lost device,Government & Public Services,Lost / stolen media
EasyJet,2020,9000000,transport,hacked,Transport & Logistics,Hacked
Ebay,2014,145000000,web,hacked,Technology & IT Services,Hacked
Educational Credit Management Corp,2010,3300000,finance,lost device ,Financial Services,Other
Eisenhower Medical Center,2011,514330,health ,lost device ,Healthcare & Health Services,Other
"Emergency Healthcare Physicians, Ltd.",2010,180111,health ,lost device ,Healthcare & Health Services,Other
Emory Healthcare,2012,315000,health ,lost device ,Healthcare & Health Services,Other
Epik,2021,15000000,retail,hacked,Retail & Consumer Services,Hacked
Epsilon,2011,3000000,web,hacked,Technology & IT Services,Hacked
Equifax,2017,143000000,finance,hacked,Financial Services,Hacked
Estonian gov,2021,280000,government,hacked,Government & Public Services,Hacked
European Central Bank,2014,4000000,finance,hacked,Financial Services,Hacked
Evernote,2013,50000000,web,hacked,Technology & IT Services,Hacked
Experian / T-mobile,2015,15000000,telecoms,hacked,Telecommunications,Hacked
Experian Brazil,2021,220000000,finance,hacked,Financial Services,Hacked
Experian SA,2020,24000000,web,unknown,Technology & IT Services,Unknown
EyeEm,2019,22000000,web,hacked,Technology & IT Services,Hacked
Facebook,2021,533000000,tech,hacked,Technology & IT Services,Hacked
Facebook,2013,6000000,web,unknown,Technology & IT Services,Unknown
Facebook,2019,419000000,web,poor security,Technology & IT Services,Poor security/Misconfiguration
Facebook,2018,29000000,web,hacked,Technology & IT Services,Hacked
Facebook,2018,50000000,web,hacked,Technology & IT Services,Hacked
Fidelity National Information Services,2007,8500000,finance,inside job,Financial Services,Inside job
Firebase,2018,100000000,app,poor security,Miscellaneous & Other,Poor security/Misconfiguration
FlexBooker,2022,3700000,web,hacked,Technology & IT Services,Hacked
Fling,2016,40000000,web,hacked,Technology & IT Services,Hacked
Florida Department of Juvenile Justice,2013,100000,government,lost device ,Government & Public Services,Other
Formspring,2012,420000,web,hacked,Technology & IT Services,Hacked
Fotolog,2019,16000000,web,hacked,Technology & IT Services,Hacked
Friend Finder Network,2016,412000000,web,hacked,Technology & IT Services,Hacked
GEDmatch,2020,1400000,"misc, health",hacked,Miscellaneous & Other,Hacked
GMail,2014,5000000,web,hacked,Technology & IT Services,Hacked
GS Caltex,2008,11100000,misc,inside job,Miscellaneous & Other,Inside job
Gab,2021,4000000,tech,hacked,Technology & IT Services,Hacked
Gamigo,2012,8000000,web,hacked,Technology & IT Services,Hacked
Gap Inc,2007,800000,retail,lost device ,Retail & Consumer Services,Other
Gawker.com,2010,1500000,web,hacked,Technology & IT Services,Hacked
Ge.tt,2019,1800000,web,hacked,Technology & IT Services,Hacked
Global Payments,2012,1500000,finance,hacked,Financial Services,Hacked
GoDaddy,2021,1200000,web,hacked,Technology & IT Services,Hacked
Google+,2018,52500000,web,poor security,Technology & IT Services,Poor security/Misconfiguration
GovPayNow.com,2018,14000000,finance,poor security,Financial Services,Poor security/Misconfiguration
Greek government,2012,9000000,government,hacked,Government & Public Services,Hacked
Grindr,2018,3000000,app,poor security,Miscellaneous & Other,Poor security/Misconfiguration
Guntrader,2021,111000,retail,hacked,Retail & Consumer Services,Hacked
HSBC Turkey,2014,2700000,finance,hacked,Financial Services,Hacked
Hacking Team,2015,500000,web,hacked,Technology & IT Services,Hacked
Hannaford Brothers Supermarket Chain,2008,4200000,retail,hacked,Retail & Consumer Services,Hacked
HauteLook,2019,28000000,retail,hacked,Retail & Consumer Services,Hacked
Health Net ,2009,1500000,health ,lost device ,Healthcare & Health Services,Other
Health Net - IBM,2011,1900000,health ,lost device ,Healthcare & Health Services,Other
Heartland,2009,130000000,finance,hacked,Financial Services,Hacked
Helse Sør-Øst RHF,2018,3000000,health ,hacked,Healthcare & Health Services,Hacked
Heroku,2022,50000,tech,hacked,Technology & IT Services,Hacked
Hewlett Packard,2006,200000,"tech, retail",lost device ,Retail & Consumer Services,Other
High Tail Hall,2018,411000,web,hacked,Technology & IT Services,Hacked
Ho Mobile,2020,2500000,telecoms,hacked,Telecommunications,Hacked
Home Depot,2014,56000000,retail,hacked,Retail & Consumer Services,Hacked
Honda Canada,2011,283000,retail,hacked,Retail & Consumer Services,Hacked
Hong Kong Registration & Electoral Office,2017,3700000,government,lost device ,Government & Public Services,Other
Houzz,2019,57000000,retail,hacked,Retail & Consumer Services,Hacked
IRS,2015,100000,government,hacked,Government & Public Services,Hacked
Imgur,2017,1700000,app,hacked,Miscellaneous & Other,Hacked
Indian citizens,2019,275265298,web,poor security,Technology & IT Services,Poor security/Misconfiguration
Indiana University,2014,146000,academic,poor security,Educational & Academic Services,Poor security/Misconfiguration
Instagram,2017,6000000,web,hacked,Technology & IT Services,Hacked
Interpark,2016,10000000,web,hacked,Technology & IT Services,Hacked
Invest Bank,2015,40000,finance,hacked,Financial Services,Hacked
Israeli government,2020,6500000,government,poor security,Government & Public Services,Poor security/Misconfiguration
Ixigo,2019,18000000,transport,poor security,Transport & Logistics,Poor security/Misconfiguration
JP Morgan Chase,2014,76000000,finance,hacked,Financial Services,Hacked
JP Morgan Chase,2007,2600000,finance,lost device ,Financial Services,Other
Japan Airlines,2014,750000,transport,hacked,Transport & Logistics,Hacked
KDDI,2006,4000000,telecoms,hacked,Telecommunications,Hacked
KM.ru & Nival,2016,1500000,web,hacked,Technology & IT Services,Hacked
KT Corp.,2012,8700000,telecoms,hacked,Telecommunications,Hacked
Kirkwood Community College,2013,125000,academic,hacked,Educational & Academic Services,Hacked
Korea Credit Bureau,2014,20000000,finance,inside job,Financial Services,Inside job
Kromtech,2015,13000000,web,hacked,Technology & IT Services,Hacked
LINE Pay,2021,133000,financial,poor security ,Financial Services,Other
Last.fm,2012,43500000,web,hacked,Technology & IT Services,Hacked
Ledger,2020,270000,finance,hacked,Financial Services,Hacked
Lincoln Medical & Mental Health Center,2010,130495,health ,lost device ,Healthcare & Health Services,Other
LinkedIn,2016,117000000,web,hacked,Technology & IT Services,Hacked
"LinkedIn, eHarmony, Last.fm",2012,8000000,web,hacked,Technology & IT Services,Hacked
Linkedin,2021,700000000,web ,hacked,Miscellaneous & Other,Hacked
Linux Ubuntu forums,2016,2000000,web,hacked,Technology & IT Services,Hacked
Living Social,2013,50000000,web,hacked,Technology & IT Services,Hacked
LocalBlox,2018,48000000,web,poor security,Technology & IT Services,Poor security/Misconfiguration
Lynda.com,2016,9500000,web,hacked,Technology & IT Services,Hacked
MBM Company,2018,1300000,retail,poor security,Retail & Consumer Services,Poor security/Misconfiguration
MGM Hotels,2020,10600000,retail,hacked,Retail & Consumer Services,Hacked
MSpy,2015,400000,app,hacked,Miscellaneous & Other,Hacked
MacDonalds,2021,10000000,retail,hacked,Retail & Consumer Services,Hacked
MacRumours.com,2013,860000,web,hacked,Technology & IT Services,Hacked
Mail. ru,2016,25000000,web,hacked,Technology & IT Services,Hacked
Mailchimp,2022,106586,tech,hacked,Technology & IT Services,Hacked
Malaysian medical practitioners,2017,81309,health ,hacked,Healthcare & Health Services,Hacked
Malaysian telcos & MVNOs,2017,46200000,telecoms,hacked,Telecommunications,Hacked
Marriott Hotels,2020,5200000,retail,inside job,Retail & Consumer Services,Inside job
Marriott International,2018,383000000,retail,hacked,Retail & Consumer Services,Hacked
Massachusetts Government,2011,210000,government,hacked,Government & Public Services,Hacked
Massive American business hack,2013,160000000,finance,hacked,Financial Services,Hacked
Medicaid,2012,780000,"government, health",hacked,Government & Public Services,Hacked
Medicare & Medicaid,2018,93689,health ,hacked,Healthcare & Health Services,Hacked
Meet Mindful,2021,2240000,tech,hacked,Technology & IT Services,Hacked
Memorial Healthcare System,2012,102153,health ,lost device ,Healthcare & Health Services,Other
Microsoft,2020,250000000,web,poor security,Technology & IT Services,Poor security/Misconfiguration
Militarysingles.com,2012,163792,"web, military",hacked,Technology & IT Services,Hacked
Minecraft,2016,7000000,gaming,hacked,Gaming & Entertainment,Hacked
Monster.com,2007,1600000,web,hacked,Technology & IT Services,Hacked
Morgan Stanley Smith Barney,2011,34000,finance,lost device ,Financial Services,Other
Mossack Fonseca,2016,11500000,misc,hacked,Miscellaneous & Other,Hacked
Mount Olympus,2016,1100,finance,inside job,Financial Services,Inside job
Mozilla,2014,76000,web,poor security,Technology & IT Services,Poor security/Misconfiguration
Mutuelle Generale de la Police,2016,112000,health ,inside job,Healthcare & Health Services,Inside job
MyFitnessPal,2018,150000000,app,hacked,Miscellaneous & Other,Hacked
MyHeritage,2018,92283889,web,hacked,Technology & IT Services,Hacked
MySpace,2016,164000000,web,hacked,Technology & IT Services,Hacked
NASDAQ,2013,500000,finance,hacked,Financial Services,Hacked
NHS,2011,8600000,health ,lost device ,Healthcare & Health Services,Other
NMBS,2018,700000,transport,unknown,Transport & Logistics,Unknown
Nametests,2018,120000000,app,poor security,Miscellaneous & Other,Poor security/Misconfiguration
National Security Agency,2013,1500000,government,inside job,Government & Public Services,Inside job
Neiman Marcus,2014,1100000,retail,hacked,Retail & Consumer Services,Hacked
Neiman Marcus,2021,4600000,retail,hacked,Retail & Consumer Services,Hacked
Nemours Foundation,2011,1600000,health ,lost device ,Healthcare & Health Services,Other
Network Solutions,2009,573000,web,hacked,Technology & IT Services,Hacked
New York City Health & Hospitals Corp.,2011,1700000,health ,lost device ,Healthcare & Health Services,Other
New York State Electric & Gas,2012,1800000,misc,inside job,Miscellaneous & Other,Inside job
New York Taxis,2014,52000,transport,poor security,Transport & Logistics,Poor security/Misconfiguration
Newegg,2018,45000000,retail,hacked,Retail & Consumer Services,Hacked
Nexon Korea Corp,2011,13200000,web,hacked,Technology & IT Services,Hacked
Nintendo,2020,300000,gaming,hacked,Gaming & Entertainment,Hacked
Nintendo,2013,4000000,gaming,hacked,Gaming & Entertainment,Hacked
Norwegian Tax Authorities,2008,3950000,government,unknown,Government & Public Services,Unknown
Nvidia,2021,100000,tech,hacked,Technology & IT Services,Hacked
OVH,2013,200000,web,hacked,Technology & IT Services,Hacked
Office of the Texas Attorney General,2012,6500000,government,unknown,Government & Public Services,Unknown
Ohio State University,2010,760000,academic,hacked,Educational & Academic Services,Hacked
Okta,2021,100000,tech,hacked,Technology & IT Services,Hacked
Omiai dating app,2021,1710000,app,hacked,Miscellaneous & Other,Hacked
Open Subtitles,2022,100000,web,hacked,Technology & IT Services,Hacked
Orbitz,2018,880000,web,hacked,Technology & IT Services,Hacked
Oregon Department of Motor Vehicles,2011,1000000,government,hacked,Government & Public Services,Hacked
OxyData,2019,380000000,tech,poor security,Technology & IT Services,Poor security/Misconfiguration
Pakistani mobile operators,2020,115000000,telecoms,hacked,Telecommunications,Hacked
Pandora Papers,2021,11900000,government,hacked,Government & Public Services,Hacked
Panerabread,2018,37000000,retail,poor security,Retail & Consumer Services,Poor security/Misconfiguration
Park Mobile,2021,21000000,transport,hacked,Transport & Logistics,Hacked
PayAsUGym,2016,300000,web,hacked,Technology & IT Services,Hacked
PayHere,2022,1580249,financial,hacked,Financial Services,Hacked
Peloton,2021,3000000,tech,poor security ,Technology & IT Services,Other
Petflow,2019,1000000,retail,poor security,Retail & Consumer Services,Poor security/Misconfiguration
Philippines’ Commission on Elections,2016,55000000,government,hacked,Government & Public Services,Hacked
Plex,2022,15000000,web ,hacked,Miscellaneous & Other,Hacked
Premera,2015,11000000,health ,hacked,Healthcare & Health Services,Hacked
Privatization Agency of the Republic of Serbia,2014,5190396,government,unknown,Government & Public Services,Unknown
Quest Diagnostics,2016,34000,health ,hacked,Healthcare & Health Services,Hacked
Quest Diagnostics,2019,20000000,health ,poor security,Healthcare & Health Services,Poor security/Misconfiguration
Quora,2018,100000000,web,hacked,Technology & IT Services,Hacked
RBS Worldpay,2008,1500000,finance,hacked,Financial Services,Hacked
Red Cross,2022,500000,NGO,hacked,Miscellaneous & Other,Hacked
Red Cross Blood Service,2016,550000,health ,unknown,Healthcare & Health Services,Unknown
Restaurant Depot,2011,200000,retail,hacked,Retail & Consumer Services,Hacked
River City Media,2017,340000000,web,unknown,Technology & IT Services,Unknown
Robinhood,2021,5000937,financial,hacked,Financial Services,Hacked
RockYou!,2009,32000000,"web, gaming",hacked,Gaming & Entertainment,Hacked
Roll20,2019,4000000,gaming,hacked,Gaming & Entertainment,Hacked
RootsWeb,2017,300000,web,poor security,Technology & IT Services,Poor security/Misconfiguration
Royal Enfield,2020,420873,transport,poor security,Transport & Logistics,Poor security/Misconfiguration
SKY Brasil,2018,32000000,telecoms,poor security,Telecommunications,Poor security/Misconfiguration
SVR Tracking,2017,540000,app,poor security,Miscellaneous & Other,Poor security/Misconfiguration
Saks and Lord & Taylor,2018,5000000,retail,hacked,Retail & Consumer Services,Hacked
San Francisco Public Utilities Commission ,2011,180000,government,hacked,Government & Public Services,Hacked
Sanrio,2015,3300000,web,poor security,Technology & IT Services,Poor security/Misconfiguration
Scribd,2013,500000,web,hacked,Technology & IT Services,Hacked
"Seacoast Radiology, PA",2011,231400,health ,hacked,Healthcare & Health Services,Hacked
Securus Technologies,2015,70000000,web,hacked,Technology & IT Services,Hacked
Sega,2011,1290755,gaming,hacked,Gaming & Entertainment,Hacked
Service Personnel and Veterans Agency (UK),2008,50500,government,lost device ,Government & Public Services,Other
Shanghai Police,2022,500000000,financial,hacked,Financial Services,Hacked
ShareThis,2019,41000000,web,hacked,Technology & IT Services,Hacked
SingHealth,2018,1500000,health ,hacked,Healthcare & Health Services,Hacked
Slack,2015,500000,app,hacked,Miscellaneous & Other,Hacked
SnapChat,2013,4600000,"web, tech",hacked,Technology & IT Services,Hacked
Snapchat,2017,1700000,app,hacked,Miscellaneous & Other,Hacked
SolarWinds,2020,50000000,app,hacked,Miscellaneous & Other,Hacked
Sony Online Entertainment,2011,24600000,gaming,hacked,Gaming & Entertainment,Hacked
Sony PSN,2011,77000000,gaming,hacked,Gaming & Entertainment,Hacked
Sony Pictures,2011,1000000,web,hacked,Technology & IT Services,Hacked
Sony Pictures,2014,10000000,misc,hacked,Miscellaneous & Other,Hacked
South Carolina Government,2012,228000,health ,inside job,Healthcare & Health Services,Inside job
South Carolina State Dept. of Revenue,2012,3600000,government,hacked,Government & Public Services,Hacked
"South Shore Hospital, Massachusetts",2011,800000,health ,lost device ,Healthcare & Health Services,Other
Southern California Medical-Legal Consultants,2011,300000,health ,hacked,Healthcare & Health Services,Hacked
Spambot,2017,520000000,web,poor security,Technology & IT Services,Poor security/Misconfiguration
Spartanburg Regional Healthcare System,2011,400000,health ,lost device ,Healthcare & Health Services,Other
Spotify,2020,500000,app,unknown,Miscellaneous & Other,Unknown
Stanford University,2008,72000,academic,lost device ,Educational & Academic Services,Other
Staples,2014,1160000,retail,hacked,Retail & Consumer Services,Hacked
Star Alliance,2021,16000000,transport,hacked,Transport & Logistics,Hacked
Starbucks,2008,97000,retail,lost device ,Retail & Consumer Services,Other
State of Texas,2011,3500000,government,unknown,Government & Public Services,Unknown
Steam,2011,35000000,web,hacked,Technology & IT Services,Hacked
Stratfor,2011,935000,military,hacked,Miscellaneous & Other,Hacked
Stronghold Kingdoms,2019,5000000,gaming,hacked,Gaming & Entertainment,Hacked
Suprema,2019,27800000,tech,poor security,Technology & IT Services,Poor security/Misconfiguration
Sutter Medical Foundation,2011,4243434,health ,lost device ,Healthcare & Health Services,Other
Swedish Transport Agency,2017,3000000,government,poor security,Government & Public Services,Poor security/Misconfiguration
Syniverse,2021,500000000,telecoms,hacked,Telecommunications,Hacked
Syrian government,2016,274477,government,hacked,Government & Public Services,Hacked
T-Mobile,2018,2000000,telecoms,hacked,Telecommunications,Hacked
T-Mobile ,2021,76000000,telecoms,hacked,Telecommunications,Hacked
"T-Mobile, Deutsche Telecom",2008,17000000,telecoms,lost device ,Telecommunications,Other
T-mobile,2020,200000,telecoms,hacked,Telecommunications,Hacked
TD Ameritrade,2007,6300000,finance,hacked,Financial Services,Hacked
TIO Networks,2017,1600000,finance,hacked,Financial Services,Hacked
TK / TJ Maxx,2007,94000000,retail,hacked,Retail & Consumer Services,Hacked
TalkTalk,2015,157000,telecoms,hacked,Telecommunications,Hacked
Target,2013,70000000,retail,hacked,Retail & Consumer Services,Hacked
Telegram ,2016,15000000,app,hacked,Miscellaneous & Other,Hacked
TerraCom & YourTel,2013,170000,telecoms,unknown,Telecommunications,Unknown
Tesco Clubcard,2020,600000,retail,hacked,Retail & Consumer Services,Hacked
Texas Lottery,2008,89000,government,inside job,Government & Public Services,Inside job
Texas voter records,2018,14800000,web,poor security,Technology & IT Services,Poor security/Misconfiguration
Thailand visitors,2021,100000000,government,poor security ,Government & Public Services,Other
The Hospital Group,2020,1000000,health ,hacked,Healthcare & Health Services,Hacked
Three,2016,130000,telecoms,hacked,Telecommunications,Hacked
Three Iranian banks,2012,3000000,finance,hacked,Financial Services,Hacked
Tianya,2013,40000000,web,hacked,Technology & IT Services,Hacked
TicketFly,2018,27000000,web,hacked,Technology & IT Services,Hacked
Ticketmaster,2018,40000,web,hacked,Technology & IT Services,Hacked
Toyota,2019,3100000,transport,hacked,Transport & Logistics,Hacked
Travelio,2021,471376,misc,hacked,Miscellaneous & Other,Hacked
Tricare,2011,4901432,"military, health",lost device ,Healthcare & Health Services,Other
"Triple-S Salud, Inc.",2010,398000,health ,lost device ,Healthcare & Health Services,Other
Tumblr,2016,65000000,web,hacked,Technology & IT Services,Hacked
Turkish citizenship database,2016,49611709,government,hacked,Government & Public Services,Hacked
Twitch,2021,10000000,gaming,hacked,Gaming & Entertainment,Hacked
Twitch,2015,10000000,health ,hacked,Healthcare & Health Services,Hacked
Twitter,2013,250000,web,hacked,Technology & IT Services,Hacked
Twitter,2021,5400000,web,hacked,Technology & IT Services,Hacked
Twitter,2018,330000000,tech,poor security,Technology & IT Services,Poor security/Misconfiguration
UCLA Health,2015,4500000,health ,hacked,Healthcare & Health Services,Hacked
UK Home Office,2008,84000,government,lost device ,Government & Public Services,Other
UK Ministry of Defence,2008,1700000,government,lost device ,Government & Public Services,Other
UK Revenue & Customs,2007,25000000,government,lost device ,Government & Public Services,Other
UPS,2014,4000000,retail,hacked,Retail & Consumer Services,Hacked
US Customs and Border Protection,2019,100000,government,hacked,Government & Public Services,Hacked
US Dept of Vet Affairs,2006,26500000,"government, military",lost device ,Government & Public Services,Other
US Federal Reserve Bank of Cleveland,2010,400000,finance,hacked,Financial Services,Hacked
US Law Enforcement,2011,123461,government,hacked,Government & Public Services,Hacked
US Marshals Service,2020,387000,government,hacked,Government & Public Services,Hacked
US Military,2009,76000000,military,lost device ,Miscellaneous & Other,Other
US Military,2010,260000,military,inside job,Miscellaneous & Other,Inside job
US National Guard,2009,131000,military,lost device ,Miscellaneous & Other,Other
US Office of Personnel Management,2015,4000000,government,hacked,Government & Public Services,Hacked
US Office of Personnel Management (2nd Breach),2015,21500000,government,hacked,Government & Public Services,Hacked
Uber,2017,57000000,app,hacked,Miscellaneous & Other,Hacked
Uber,2015,50000,"tech, app",poor security,Technology & IT Services,Poor security/Misconfiguration
UbiSoft,2013,58000000,gaming,hacked,Gaming & Entertainment,Hacked
Ubiquiti,2021,16000000,tech,hacked,Technology & IT Services,Hacked
Ubuntu,2013,2000000,"tech, web",hacked,Technology & IT Services,Hacked
University of California Berkeley,2009,160000,academic,hacked,Educational & Academic Services,Hacked
University of Delaware,2013,74000,academic,hacked,Educational & Academic Services,Hacked
University of Miami,2008,2100000,academic,lost device ,Educational & Academic Services,Other
University of Utah Hospitals & Clinics,2008,2200000,academic,lost device ,Educational & Academic Services,Other
University of Wisconsin - Milwaukee,2011,73000,academic,hacked,Educational & Academic Services,Hacked
Unknown,2019,1800000,web,poor security,Technology & IT Services,Poor security/Misconfiguration
Urban Massage,2018,309000,app,poor security,Miscellaneous & Other,Poor security/Misconfiguration
